name,id,hp,attack,defense,special_attack,special_defense,speed,height,weight,type_1,type_2
Sprigatito,906,40,61,54,45,45,65,4,41,Grass,
Floragato,907,61,80,63,60,63,83,9,122,Grass,
Meowscarada,908,76,110,70,81,70,123,15,312,Grass,Dark
Fuecoco,909,67,45,59,63,40,36,4,98,Fire,
Crocalor,910,81,55,78,90,58,49,10,307,Fire,
Skeledirge,911,104,75,100,110,75,66,16,3265,Fire,Ghost
Quaxly,912,55,65,45,50,45,50,5,61,Water,
Quaxwell,913,70,85,65,65,60,65,12,215,Water,
Quaquaval,914,85,120,80,85,75,85,18,619,Water,Fighting
Lechonk,915,54,45,40,35,45,35,5,102,Normal,
Oinkologne,916,110,100,75,59,80,65,10,1200,Normal,
Tarountula,917,35,41,45,29,40,20,3,40,Bug,
Spidops,918,60,79,92,52,86,35,10,165,Bug,
Nymble,919,33,46,40,21,25,45,2,10,Bug,
Lokix,920,71,102,78,52,55,92,10,175,Bug,Dark
Pawmi,921,45,50,20,40,25,60,3,25,Electric,
Pawmo,922,60,75,40,50,40,85,4,65,Electric,Fighting
Pawmot,923,70,115,70,70,60,105,9,410,Electric,Fighting
Tandemaus,924,50,50,45,40,45,75,3,18,Normal,
Maushold,925,74,75,70,65,75,111,3,23,Normal,
Fidough,926,37,55,70,30,55,65,3,109,Fairy,
Dachsbun,927,57,80,115,50,80,95,5,149,Fairy,
Smoliv,928,41,35,45,58,51,30,3,65,Grass,Normal
Dolliv,929,52,53,60,78,78,33,6,119,Grass,Normal
Arboliva,930,78,69,90,125,109,39,14,482,Grass,Normal
Squawkabilly,931,82,96,51,45,51,92,6,24,Normal,Flying
Nacli,932,55,55,75,35,35,25,4,160,Rock,
Naclstack,933,60,60,100,35,65,35,6,1050,Rock,
Garganacl,934,100,100,130,45,90,35,23,2400,Rock,
Charcadet,935,40,50,40,50,40,35,6,105,Fire,
Armarouge,936,85,60,100,125,80,75,15,850,Fire,Psychic
Ceruledge,937,75,125,80,60,100,85,16,620,Fire,Ghost
Tadbulb,938,61,31,41,59,35,45,3,4,Electric,
Bellibolt,939,109,64,91,103,83,45,12,1130,Electric,
Wattrel,940,40,40,35,55,40,70,4,36,Electric,Flying
Kilowattrel,941,70,70,60,105,60,125,14,386,Electric,Flying
Maschiff,942,60,78,60,40,51,51,5,160,Dark,
Mabosstiff,943,80,120,90,60,70,85,11,610,Dark,
Shroodle,944,40,65,35,40,35,75,2,7,Poison,Normal
Grafaiai,945,63,95,65,80,72,110,7,272,Poison,Normal
Bramblin,946,40,65,30,45,35,60,6,6,Grass,Ghost
Brambleghast,947,55,115,70,80,70,90,12,60,Grass,Ghost
Toedscool,948,40,40,35,50,100,70,9,330,Ground,Grass
Toedscruel,949,80,70,65,80,120,100,19,580,Ground,Grass
Klawf,950,70,100,115,35,55,75,13,790,Rock,
Capsakid,951,50,62,40,62,40,50,3,30,Grass,
Scovillain,952,65,108,65,108,65,75,9,150,Grass,Fire
Rellor,953,41,50,60,31,58,30,2,10,Bug,
Rabsca,954,75,50,85,115,100,45,3,35,Bug,Psychic
Flittle,955,30,35,30,55,30,75,2,15,Psychic,
Espathra,956,95,60,60,101,60,105,19,900,Psychic,
Tinkatink,957,50,45,45,35,64,58,4,89,Fairy,Steel
Tinkatuff,958,65,55,55,45,82,78,7,591,Fairy,Steel
Tinkaton,959,85,75,77,70,105,94,7,1128,Fairy,Steel
Wiglett,960,10,55,25,35,25,95,12,18,Water,
Wugtrio,961,35,100,50,50,70,120,12,54,Water,
Bombirdier,962,70,103,85,60,85,82,15,429,Flying,Dark
Finizen,963,70,45,40,45,40,75,13,602,Water,
Palafin,964,100,70,72,53,62,100,13,602,Water,
Varoom,965,45,70,63,30,45,47,10,350,Steel,Poison
Revavroom,966,80,119,90,54,67,90,18,1200,Steel,Poison
Cyclizar,967,70,95,65,85,65,121,16,630,Dragon,Normal
Orthworm,968,70,85,145,60,55,65,25,3100,Steel,
Glimmet,969,48,35,42,105,60,60,7,80,Rock,Poison
Glimmora,970,83,55,90,130,81,86,15,450,Rock,Poison
Greavard,971,50,61,60,30,55,34,6,350,Ghost,
Houndstone,972,72,101,100,50,97,68,20,150,Ghost,
Flamigo,973,82,115,74,75,64,90,16,370,Flying,Fighting
Cetoddle,974,108,68,45,30,40,43,12,450,Ice,
Cetitan,975,170,113,65,45,55,73,45,7000,Ice,
Veluza,976,90,102,73,78,65,70,25,900,Water,Psychic
Dondozo,977,150,100,115,65,65,35,120,2200,Water,
Tatsugiri,978,68,50,60,120,95,82,3,80,Dragon,Water
Annihilape,979,110,115,80,50,90,90,12,560,Fighting,Ghost
Clodsire,980,130,75,60,45,100,20,18,2230,Poison,Ground
Farigiraf,981,120,90,70,110,70,60,32,1600,Normal,Psychic
Dudunsparce,982,125,100,80,85,75,55,36,392,Normal,
Kingambit,983,100,135,120,60,85,50,20,1200,Dark,Steel
Great-Tusk,984,115,131,131,53,53,87,22,3200,Ground,Fighting
Scream-Tail,985,115,65,99,65,115,111,12,80,Fairy,Psychic
Brute-Bonnet,986,111,127,99,79,99,55,12,210,Grass,Dark
Flutter-Mane,987,55,55,55,135,135,135,14,40,Ghost,Fairy
Slither-Wing,988,85,135,79,85,105,81,32,920,Bug,Fighting
Sandy-Shocks,989,85,81,97,121,85,101,23,600,Electric,Ground
Iron-Treads,990,90,112,120,72,70,106,9,2400,Ground,Steel
Iron-Bundle,991,56,80,114,124,60,136,6,110,Ice,Water
Iron-Hands,992,154,140,108,50,68,50,18,3807,Fighting,Electric
Iron-Jugulis,993,94,80,86,122,80,108,13,1110,Dark,Flying
Iron-Moth,994,80,70,60,140,110,110,12,360,Fire,Poison
Iron-Thorns,995,100,134,110,70,84,72,16,3030,Rock,Electric
Frigibax,996,65,75,45,35,45,55,5,170,Dragon,Ice
Arctibax,997,90,95,66,45,65,62,8,300,Dragon,Ice
Baxcalibur,998,115,145,92,75,86,87,21,2100,Dragon,Ice
